"slug","pageTitle","metaDesc","winner","oneLineReason","titleChars","metaChars","flags"
"enders-game","Ender's Game: Card Shows You Ender's Mind. Hood Just Shows Battles.","The novel is about strategy and moral weight. The film is about spectacle. Hood made a competent adaptation of an unfilmable book. Read first.","Book","Card's prose reveals Ender's mind; the film only shows his victories.","67","142","TITLE_LONG(67)"
"english-patient","The English Patient: Minghella Gets the Romance. Ondaatje Gets Kip.","The film won nine Oscars for its love story. The novel has Kip's rage at Hiroshima—the political reckoning Minghella cut. Read both.","Too Close to Call","Minghella perfects the love story; Ondaatje owns Kip's political reckoning.","67","132","TITLE_LONG(67)"
"everything-everything","Everything, Everything: The Twist Devastates in Yoon's Book. Not the Film.","Yoon's multimedia format makes you live inside Maddy's mind before the medical reveal shatters it. The film just shows you the plot. Read first.","Book","Yoon's multimedia format and psychological depth make the medical twist devastate on the page.","74","144","TITLE_LONG(74)"
"fight-club","Fight Club: Palahniuk's Prose vs Fincher's Subliminal Cuts","The novel's rhythm lives in sentence fragments. The film's lives in frames you don't see. Both are perfect for their medium. Either order works.","Too Close to Call","Palahniuk's staccato prose owns the page; Fincher's subliminal editing owns the screen.","58","144",""
"five-feet-apart","Five Feet Apart: Stella's Rules Mean Nothing Without Her Voice","Baldoni's film makes the distance romantic. Lippincott's book makes it survival. The internal spiral is what makes the rules matter.","Book","Stella's spiraling internal monologue reveals why her rules matter more than romance.","62","132",""
"fourth-wing","Fourth Wing: Violet's Wit Lives in Her Head—Not on Screen","Yarros built Violet through internal voice: tactical thinking, self-awareness, razor wit. That's the hardest thing to adapt. Read the book first.","Book","Violet's internal voice—wit, tactical thinking, self-awareness—exists only on the page.","57","145",""
"frankenstein","Frankenstein: Shelley's Creature Argues. Del Toro's Roars.","Del Toro made the most faithful adaptation in cinema history. It still can't give you the creature's voice. Read the book first.","Book","The creature's philosophical voice and moral arguments exist only on the page.","58","128",""
"geralds-game","Gerald's Game: Flanagan's Triumph Still Can't Get Inside Her Head","King spends 332 pages inside Jessie's fracturing mind. Flanagan made a masterpiece—but dissociation only works on the page. Read the book first.","Book","King's sustained psychological excavation of dissociated consciousness cannot be externalized.","65","144",""
"girl-on-the-train","The Girl on the Train: Blunt Can't Give You Rachel's Mind","Hawkins traps you inside an unreliable narrator's spiral. Taylor can only show you a drunk woman on a train. Read the book first.","Book","Rachel's fractured first-person narration only works on the page.","57","129",""
"girl-with-the-dragon-tattoo","Dragon Tattoo: Fincher Nails the Thriller. Larsson Wrote Lisbeth.","Mara's performance is stunning. But Larsson gives you Lisbeth's interior world and Sweden's rot in ways Fincher can't. Read the book first.","Book","Larsson's institutional critique and Lisbeth's interior world exist only on the page.","65","139",""
"gone-girl","Gone Girl: Pike Owns the Screen. Flynn Owns Amy's Mind.","Fincher's film gives you Rosamund Pike's face. Flynn's novel gives you Amazing Amy's architecture. Both manipulate you differently.","Too Close to Call","Pike's face owns the screen; Flynn's Amazing Amy owns the page.","55","131",""
"good-omens","Good Omens: Pratchett's Footnotes vs Sheen and Tennant","The novel's wit lives in the margins. The series lives in two performances you can't replicate on the page. Read first, then watch.","Too Close to Call","The novel's footnotes and dual authorship exist only on the page; Sheen and Tennant own the screen.","54","131",""
"hamnet","Hamnet: Buckley Can't Give You 300 Pages Inside Agnes's Mind","O'Farrell makes you live inside grief. Zhao can only show you its face. The novel's intimacy is what makes the loss unbearable. Read first.","Book","Only prose can sustain 300 pages inside Agnes's consciousness.","60","139",""
"hannibal-series","Hannibal: Harris Built the Monster. Fuller Made Him Beautiful.","The novels are essential thrillers. Fuller's series is formally extraordinary. Both irreplaceable — neither a substitute. Read Harris first.","Book","Harris's thrillers are tightly plotted source material; Fuller's visual language is irreplaceable.","62","140",""
"heated-rivalry","Heated Rivalry: Reid Owns the Longing. Tierney Owns the Risk.","The novel gives you Ilya's silence. The show gives you the glances that break it. Both versions are essential for different reasons.","Too Close to Call","Reid's interior voice lives only on the page; Tierney's compression tightens what matters most.","61","132",""
"high-fidelity","High Fidelity: Hornby's Lists Hide Pain. Cusack's Voice Owns It.","Hornby wrote a man who hides behind music. Cusack plays him as someone who can't. Both versions work. Start with either.","Too Close to Call","Hornby's interior prose irreplaceable; Cusack's monologues own the screen.","64","120",""
"hillbilly-elegy","Hillbilly Elegy: Vance Explains Appalachia. Howard Just Pities It.","The book is sociology disguised as memoir. The film is melodrama disguised as empathy. Read the book first or you'll miss the entire point.","Book","The memoir's sociological analysis of class and culture vanishes entirely from the film.","66","139","TITLE_LONG(66)"
"hitchhikers-guide","Hitchhiker's Guide: The Film Gets the Gags, Loses the Voice","Adams wrote a novel where the narrator is funnier than the plot. Jennings cast it well and missed the point. Read the book first.","Book","Adams's narrative voice—the asides, digressions, deadpan prose—is the joke itself.","59","129",""
"howls-moving-castle","Howl's Moving Castle: Jones Gives Sophie Magic. Miyazaki Feeling.","Jones's Sophie breaks curses without knowing it. Miyazaki's breaks them by feeling everything. Both are essential. Read the book first.","Too Close to Call","Jones's Sophie unknowingly breaks curses through magic; Miyazaki's transforms through feeling.","65","135",""
"hunger-games-sunrise","Hunger Games: Collins's Propaganda vs Fiennes's Snow","The book gives you the ideology behind the Games. The film will give you the man who built them. Both are essential—in different ways.","Too Close to Call","Collins's propaganda argument exists only on the page; Fiennes's Snow exists only on screen.","52","134",""
"i-am-legend","I Am Legend: Book vs Film — Matheson's Ending Inverts Everything","Richard Matheson","Book","The novella's ending redefines Neville as monster, not hero—the film inverts this entirely.","64","16",""
"i-robot","I, Robot: Asimov's Puzzles Become Will Smith's Props","The Three Laws are the foundation of science fiction ethics. Proyas uses them as window dressing for explosions. Read the book.","Book","Asimov's Three Laws function as philosophical puzzles; the film uses them as plot furniture.","52","127",""
"interview-with-the-vampire-amcplus","Interview with the Vampire: Rice's Grief Lives in Sentences","AMC's series is bold and brilliant. It still can't give you what Rice does with language alone. Read the book first.","Book","Rice's baroque prose cannot be replicated on screen.","59","116",""
"into-the-wild","Into the Wild: Penn Made McCandless a Martyr. Krakauer Made Him Real.","The book gives you Everett Ruess, Gene Rosellini, the context that explains Chris. The film gives you a beautiful death. Read first.","Book","Krakauer's parallel stories of other wilderness seekers provide context Penn's film omits.","69","132","TITLE_LONG(69)"
"it-ends-with-us","It Ends With Us: Hoover Shows Why Lily Stays. Baldoni Just Shows.","The novel makes you understand the rationalizations that keep Lily trapped. The film only shows the violence. Read the book first.","Book","Lily's interior rationalizations of abuse exist only in Hoover's prose.","65","130",""
"it-muschietti","It: King's Cosmic Horror Lives Only in the Book's 1,000 Pages","Muschietti made the best King adaptation in years. He still can't touch the novel's dual timeline or what It actually is. Read the book first.","Book","King's dual timeline and cosmic mythology exist only on the page.","61","142",""
"jane-eyre","Jane Eyre: Brontë's 'Reader, I Married Him' Can't Exist on Film","Fukunaga made the finest adaptation yet. It's still considerably less than the novel. Jane's voice is its own world.","Book","Jane's direct address to the reader exists only on the page.","63","116",""
"jurassic-park","Jurassic Park: Crichton's Chaos Argument Dies in Spielberg's Hands","Spielberg made cinema magic. Crichton wrote a warning about hubris that the film turned into a theme park ride. Read the book first.","Book","Crichton's chaos theory argument survives only on the page; Spielberg's dinosaurs exist only on screen.","66","132","TITLE_LONG(66)"
"kite-runner","The Kite Runner: Forster Can't Trap You in Amir's Guilt","Hosseini makes you live inside Amir's shame for 400 pages. Forster's film is sincere but can't replicate that suffocation. Read first.","Book","Only the novel traps you inside Amir's guilty conscience for four hundred pages.","55","134",""
"la-confidential","LA Confidential: Ellroy's Staccato Owns the Page. Hanson Owns the Screen.","One of the great American crime novels. One of the great American crime films. Different achievements at different scales. Read both.","Too Close to Call","Ellroy's staccato prose owns the page; Hanson's visual compression owns the screen.","73","133","TITLE_LONG(73)"
"les-miserables","Les Misérables: Hugo's Valjean Thinks. Hooper's Just Sings.","The musical is magnificent spectacle. It still can't give you the moral crisis that happens inside Valjean's head. Read the book first.","Book","Hugo's philosophical digressions and Valjean's internal crises cannot be sung.","59","135",""
"little-women","Little Women: Alcott's Moral Voice vs Gerwig's Structure","Alcott wrote the great American novel of female ambition. Gerwig made it formally inventive. Both are essential. Read and watch in either order.","Too Close to Call","Alcott's moral voice exists only on the page; Gerwig's non-linear structure exists only on screen.","56","144",""
"lonesome-dove","Lonesome Dove: Duvall Is Perfect. He Still Can't Show You Gus.","McMurtry gives you decades of silence between Call and Gus. The miniseries gives you their faces. Read the book first—then watch them ride.","Book","McMurtry's interior monologues give Gus and Call depths Duvall and Jones cannot fully capture.","62","139",""
"looking-for-alaska","Looking for Alaska: Green Traps You in Pudge's Grief. Hulu Watches.","The novel's first-person spiral makes Alaska's death unbearable in ways the series can't touch. You need to feel it from inside Pudge's head.","Book","First-person narration traps you inside Pudge's grief; the series watches from outside.","67","141","TITLE_LONG(67)"
"lord-of-the-flies","Lord of the Flies: Golding Makes You Complicit. Brook Just Shows.","The novel's ironic voice implicates the reader in the horror. Brook's film is raw and sincere, but it can't argue what Golding argues.","Book","Golding's ironic narrative voice implicates the reader; the film presents events without that frame.","65","134",""
"love-simon","Love, Simon: The Film Makes Him Likable. The Book Makes Him Real.","Albertalli's Simon is anxious, messy, self-sabotaging. Berlanti's is a rom-com lead. The neuroses are what make the coming-out story work.","Book","Albertalli's first-person voice captures Simon's neuroses; the film smooths them away.","65","138",""
"margos-got-money-troubles","Margo's Got Money Troubles: Thorpe's Voice Is What TV Can't Give You","Walsh cast it perfectly. The series is warm, sharp, excellent. But Thorpe's first-person wit lives only on the page. Read the book first.","Book","Thorpe's first-person prose voice—witty, precise, irreplaceable—is the novel's defining asset.","68","137","TITLE_LONG(68)"
"me-before-you","Me Before You: The Book Lets Will Explain. The Film Just Watches.","Moyes gives you Will's reasoning in his own voice. Clarke can only show his exterior. The novel earns what the film can't. Read first.","Book","Will's alternating first-person chapters give you his reasoning; the film shows only his exterior.","65","134",""
"mickey-17","Mickey 17: Ashton's Dread Lingers. Bong's Resolves.","Joon-ho made a stunning film. It still can't hold the existential terror Ashton sustains in Mickey's head. Read the book first.","Book","Ashton's internal monologue sustains existential dread the film resolves too easily.","51","127",""
"misery","Misery: King's Axe vs Bates's Face — Both Win","The novel has Paul's terror and the full horror of the hobbling. The film has Kathy Bates. One of the rare ties where both versions are essential.","Too Close to Call","King's interior monologue and serial killer backstory versus Bates's definitive Oscar-winning performance.","45","146",""
"my-brilliant-friend","My Brilliant Friend: Without Elena's Jealousy, Lila Disappears","Costanzo's series is beautiful. But Ferrante's unreliable narrator is the story—and HBO can't show what Elena won't admit she feels.","Book","Elena's jealous, unreliable narration exists only on the page.","62","132",""
"my-sisters-keeper","My Sister's Keeper: Book vs Movie — Which Is Better? (Jodi Picoult)","Jodi Picoult","Book","Seven narrators create moral complexity the film's single voiceover cannot replicate.","67","12","TITLE_LONG(67)"
"narnia-magicians-nephew","The Magician's Nephew: Aslan's Song Can't Survive the Screen","Lewis made you hear creation in silence. Gerwig will give you a soundtrack. The book's magic lives in what you imagine, not what you see.","Book","Lewis's creation song only works when you imagine it yourself.","60","137",""
"never-let-me-go","Never Let Me Go: Kathy's Voice Is Everything Romanek Can't Film","Ishiguro's digressions are the point—they enact memory, denial, grief. The film is faithful and heartbreaking. It still isn't the book.","Book","Kathy's digressive narration—the novel's irreplaceable formal achievement—cannot be replicated on screen.","63","135",""
"normal-people","Normal People: Rooney's Silence vs. Mescal's Face","The novel gives you what Connell can't say. The series gives you what he can't hide. Both are essential. Start with either.","Too Close to Call","Rooney's free indirect style exists only on the page; Mescal and Edgar-Jones own the screen.","49","123",""
"of-mice-and-men","Of Mice and Men: Steinbeck's Refrain vs Malkovich's Silence","The novella builds through repetition. The film builds through Malkovich's face. Both versions break your heart. Either order works.","Too Close to Call","Steinbeck's repeated phrases accumulate on the page; Malkovich's eyes own the screen.","59","132",""
"olive-kitteridge","Olive Kitteridge: Strout Hides Her. HBO Won't Stop Showing Her.","The book lets Olive haunt the edges of other people's stories. The miniseries makes her the star of every scene. Read the novel first.","Book","The novel's fragmented structure reveals Olive obliquely; the miniseries centers her constantly.","63","134",""
"on-the-road","On the Road: The Novel Is the Trip. The Film Is Just the Map.","Salles made a beautiful film. It still can't do what Kerouac does in the sentences. The road is the prose. Read the book first.","Book","Kerouac's spontaneous prose style is the experience; images cannot replace it.","61","127",""
"one-day","One Day: Twenty Years in Two Hours Loses What Nicholls Built","Nicholls's annual snapshots accumulate meaning the 2011 film can't replicate. The structure is the story. Read the book first.","Book","The annual structure accumulates emotional weight that two-hour compression cannot replicate.","60","126",""
"one-flew-over-the-cuckoos-nest","Cuckoo's Nest: Kesey Gave You Bromden. Forman Gave You Jack.","The novel is Bromden's hallucination. The film is Nicholson's rebellion. Both are masterpieces. Read the book first—the Chief deserves it.","Too Close to Call","Bromden's hallucinatory narration exists only on the page; Nicholson's performance owns the screen.","60","138",""
"outlander","Outlander: You Never Hear Claire Think on Screen","Balfe is perfect casting. But Gabaldon's first-person narration gives you Claire's mind in ways the series can't. Read the book first.","Book","Claire's first-person voice and interior monologue exist only on the page.","48","134",""
"pachinko","Pachinko: The Series Can't Break Your Heart Like Noa Does","Apple TV+ made a beautiful adaptation. It still can't replicate the four-generation scope that makes Noa's fate devastating. Read the book first.","Book","The novel's four-generation scope and Noa's devastating arc are irreplaceable.","57","145",""
"people-we-meet-on-vacation","People We Meet on Vacation: Ten Years in Poppy's Voice or Nothing","Henry earns every moment of that final payoff through a decade of accumulation. Haley's film rushes what the book lets you feel. Read first.","Book","Henry's first-person voice and ten-year accumulation earn the payoff completely.","65","140",""
"perks-of-being-a-wallflower","Perks: Chbosky's Letters vs. Miller's Patrick and That Tunnel","The novel gives you Charlie's voice on the page. The film gives you Ezra Miller and 'Landslide' at 60mph. Both are essential.","Too Close to Call","The novel owns Charlie's epistolary voice; the film owns Ezra Miller's Patrick and the tunnel in motion.","61","125",""
"pet-sematary-2019","Pet Sematary: King's Louis Creed Breaks Where the Film Can't Go","The 2019 film is atmospheric and competent. It still can't show you a father's mind collapsing into monstrosity. Read King's book first.","Book","Louis's interior descent into catastrophe only exists on the page.","63","136",""
"presumed-innocent","Presumed Innocent: Turow's Inner Voice Does What Gyllenhaal Can't","The series is confident and handsome. It still can't replicate Turow's first-person legal precision. Read the book that invented the genre first.","Book","Turow's first-person narration and legal precision are irreplaceable on the page.","65","145",""
"pride-and-prejudice","Pride and Prejudice: Austen's Irony Dies the Moment You Film It","Wright made a beautiful film. Macfadyen's Darcy is perfect. But Elizabeth's interior voice—the thing that makes the novel great—can't survive on screen.","Book","Austen's ironic voice and Elizabeth's interior observations exist only on the page.","63","152",""
"project-hail-mary","Project Hail Mary: Weir Makes You Solve. Gosling Makes You Watch.","Grace's internal monologue is the book's engine—you work through the science with him. The film can only show you the answers. Read first.","Book","Grace's internal monologue lets you solve problems alongside him, not just watch.","65","138",""
"ready-player-one","Ready Player One: Cline's Puzzles Reward You. Spielberg Just Dazzles.","The novel makes you earn every gate with obscure trivia. The film gives you spectacle without the work. Read the book first—it's a different game.","Book","Cline's puzzle box rewards encyclopedic 1980s knowledge; Spielberg replaces it with spectacle.","69","146","TITLE_LONG(69)"
"rebecca","Rebecca: Hitchcock Changed the Murder. Du Maurier's Truth Matters.","The Production Code forced Hitchcock to rewrite Maxim's crime. Du Maurier's version is darker, truer, and the reason the book still unsettles.","Book","The narrator's unnamed identity and Maxim's actual murder exist only on the page.","66","142","TITLE_LONG(66)"
"remains-of-the-day","The Remains of the Day: What Stevens Won't Say Can't Be Filmed","Ivory made one of the great literary adaptations. It's still lesser than Ishiguro's novel. The meaning lives in what Stevens refuses to say.","Book","Stevens's unreliable narration—his refusal to acknowledge what he means—cannot be filmed.","62","140",""
"remarkably-bright-creatures","Remarkably Bright Creatures: Without Marcellus's Voice, It's Just Sad","Van Pelt's octopus narrator is what makes the book transcendent. Newman's film will have Sally Field, but it can't have Marcellus's mind.","Book","Marcellus's alien first-person narration exists only in prose.","69","137","TITLE_LONG(69)"
"reminders-of-him","Reminders of Him: Kenna's Letters Lose Everything on Screen","Monroe is perfectly cast, but Hoover's dual perspective and the letters that anchor the novel's grief can't survive adaptation. Read first.","Book","Hoover's dual perspective and Kenna's letters carry emotional weight the film cannot replicate.","59","139",""
"room","Room: Jack's Voice Lives on the Page. Tremblay Lives Onscreen.","Donoghue's narration is irreplaceable. Larson and Tremblay are unrepeatable. Both versions are essential for different reasons.","Too Close to Call","Jack's five-year-old narration exists only on the page; Larson and Tremblay own the screen.","62","127",""
"roots-2016","Roots: Haley's Inner Voices Are What the Miniseries Can't Film","The 2016 adaptation is powerful, but Haley's internal monologues—the generational weight that builds across centuries—exist only on the page.","Book","Haley's internal monologues and generational accumulation exist only on the page.","62","141",""
"rosemarys-baby","Rosemary's Baby: Levin Makes You Doubt. Farrow Makes You Believe.","The novel's first-person ambiguity can't be filmed. Polanski's suffocating visuals can't be written. Both are essential. Read first.","Too Close to Call","Levin's first-person ambiguity exists only on the page; Farrow and Gordon own the screen.","65","132",""
"schindlers-list","Schindler's List: The Red Coat Does What Keneally Never Could","Spielberg made one of cinema's rare transcendent adaptations. Keneally's history is essential, but the film is the masterpiece. Watch first.","Film","Spielberg's black-and-white cinematography and the red coat achieve what prose cannot.","61","140",""
"seabiscuit","Seabiscuit: Pollard Was Blind. The Film Barely Mentions It.","Hillenbrand builds her story on Pollard's blindness and Smith's frontier code. Ross's film turns both into background details. Read first.","Book","Hillenbrand reveals Pollard's functional blindness and Smith's frontier philosophy; the film reduces both to footnotes.","59","138",""
"sense-and-sensibility","Sense and Sensibility: Austen's Irony Does What Lee Can't","Thompson's script is brilliant. Lee's direction is warm. Neither can replicate Austen's formal intelligence. Read the book first.","Book","Austen's ironic distance and formal intelligence exceed the film's warmer, more emotionally direct approach.","57","129",""
"shadow-and-bone","Shadow and Bone: Bardugo's Alina Gets Lost in Netflix's Crowd","The series adds Kaz and the Crows. It works—but you lose the one thing that made Bardugo's original worth reading. Start with the book.","Book","The novel's focused intimacy with Alina's internal voice outweighs the series' ensemble gains.","61","135",""
"sharp-objects","Sharp Objects: Flynn Gets Inside Camille's Head. Adams Can't.","Vallée's series is gorgeous and Adams is perfect. But Flynn's suffocating first-person narration does what no camera can. Read the book first.","Book","Flynn's first-person narration captures the interior voice; Vallée can only show the surface.","61","142",""
"shogun-2024","Shogun: Clavell's Immersion vs. the Series' Japanese Soul","The 2024 series gives Mariko and Toranaga what Clavell never could. The novel still wins on sheer depth. Read the book first.","Book","The novel's thousand pages of immersion outweigh the series' superior perspective on Japanese characters.","57","125",""
"silence-of-the-lambs","Silence of the Lambs: Harris Owns Your Mind. Demme Owns Your Eyes.","Harris gives you Clarice's fear from inside. Demme makes Lecter stare through you. Both are masterworks. Read and watch both.","Too Close to Call","Harris's interiority owns the page; Demme's direct-address camera owns the screen.","66","125","TITLE_LONG(66)"
